"hive_id","user_id"
"1266","8373"
"519","8316"
"720","8265"
"361","8995"
"20","8418"
"59","8712"
"2052","8497"
"496","8408"
"2383","8418"
"408","8995"
"1929","8497"
"718","8265"
"2139","8497"
"736","8383"
"675","8407"
"2390","8418"
"1100","8562"
"21","8418"
"250","10"
"2245","8418"
"504","8263"
"144","8431"
"57","8712"
"70","8943"
"1528","8459"
"2076","8756"
"1143","10"
"308","10"
"755","8372"
"1681","8412"
"1993","8497"
"741","8372"
"73","8943"
"801","8419"
"243","10"
"323","8995"
"1721","8418"
"18","8418"
"900","8390"
"2100","8711"
"668","8340"
"513","8324"
"2313","10"
"1271","8541"
"158","8431"
"518","8316"
"245","10"
"1188","8418"
"353","8995"
"2441","8418"
"1374","8418"
"1401","8418"
"1200","8372"
"619","8333"
"1459","8509"
"1781","8764"
"1410","8418"
"1745","8418"
"307","10"
"903","8412"
"2067","8497"
"765","8373"
"608","8346"
"637","8346"
"1133","8647"
"1962","8412"
"2359","8995"
"1496","8685"
"959","8527"
"155","8431"
"1488","8509"
"1246","8418"
"818","8409"
"623","8346"
"378","8995"
"1179","8418"
"1755","8617"
"949","8478"
"2381","8418"
"2241","8418"
"524","8361"
"809","8419"
"10","8418"
"387","8995"
"1301","8668"
"1968","8412"
"2334","8418"
"621","8346"
"1475","8509"
"48","8712"
"2469","8995"
"1466","8509"
"2095","8711"
"816","8409"
"488","8408"
"740","8343"
"130","8380"
"2051","8497"
"1688","8412"
"1406","8418"
"555","8392"
"812","8409"
"543","8392"
"2360","8995"
"1720","8418"
"1509","8412"
"584","8380"
"213","8343"
"75","8943"
"1235","8638"
"1202","8372"
"371","8995"
"712","8265"
"215","8343"
"1194","8418"
"214","8343"
"1930","8497"
"69","8712"
"1456","8509"
"859","8409"
"1396","8418"
"1736","8418"
"1708","8418"
"1655","8372"
"1700","8418"
"2232","8418"
"2220","8418"
"8","8418"
"1846","8896"
"2148","8366"
"553","8392"
"1276","8541"
"1874","8497"
"1300","8668"
"2057","8497"
"636","8346"
"2047","8497"
"2135","8497"
"719","8265"
"984","8541"
"2126","8497"
"685","8407"
"478","8408"
"391","8995"
"457","8404"
"1107","8396"
"2160","8896"
"1081","8412"
"1074","8412"
"283","10"
"2461","8995"
"1582","8702"
"779","8358"
"788","8323"
"2021","8497"
"2442","8418"
"2227","8418"
"591","8357"
"897","8390"
"2498","8764"
"1676","8702"
"347","8995"
"646","8346"
"1349","8711"
"2454","8995"
"396","8995"
"1786","8764"
"969","8525"
"2354","8995"
"661","8346"
"708","8374"
"1648","8729"
"1738","8418"
"520","8316"
"177","8400"
"1866","8497"
"730","8265"
"16","8418"
"748","8372"
"2333","8418"
"1288","8541"
"1380","8418"
"1606","8711"
"1561","8412"
"53","8712"
"649","8346"
"1325","8509"
"432","8351"
"881","8354"
"795","8422"
"1180","8418"
"1084","8412"
"845","8412"
"1458","8509"
"156","8431"
"2038","8497"
"1232","8372"
"1591","8679"
"938","8478"
"2424","8418"
"1163","8418"
"2065","8497"
"1644","8729"
"74","8943"
"2121","8629"
"473","8393"
"2033","8497"
"118","8509"
"2040","8497"
"856","8409"
"2472","8995"
"185","8400"
"1702","8418"
"1868","8497"
"1312","8418"
"2062","8497"
"620","8346"
"1947","8497"
"562","8392"
"2031","8497"
"121","8509"
"1127","8647"
"269","10"
"326","8995"
"1851","8896"
"813","8409"
"875","8354"
"1704","8418"
"1248","8418"
"1759","8617"
"2433","8418"
"1292","8541"
"1555","8596"
"2387","8418"
"1192","8418"
"97","8509"
"24","8418"
"2253","8697"
"858","8409"
"840","8327"
"2263","8459"
"1850","8896"
"2001","8497"
"564","8382"
"376","8995"
"12","8418"
"1419","8418"
"2175","8961"
"2434","8418"
"551","8392"
"320","10"
"1395","8418"
"787","8323"
"1752","8617"
"617","8333"
"940","8478"
"2154","8618"
"869","8432"
"1901","8497"
"874","8354"
"166","8369"
"2022","8497"
"149","8431"
"2379","8418"
"1468","8509"
"1961","8412"
"1858","8896"
"1066","8335"
"1852","8896"
"1949","8497"
"1171","8418"
"613","8346"
"1711","8418"
"1302","8668"
"1027","8404"
"939","8478"
"560","8392"
"101","8509"
"1052","8343"
"2458","8995"
"1296","8541"
"1426","8509"
"1511","8412"
"1170","8418"
"2219","8418"
"2485","8995"
"964","8459"
"1524","8459"
"880","8354"
"942","8478"
"1186","8418"
"507","8366"
"359","8995"
"912","8300"
"451","8404"
"1126","8647"
"2131","8497"
"774","8373"
"2109","8629"
"694","8387"
"1261","8373"
"1789","8764"
"944","8478"
"439","8351"
"1766","10"
"1776","8390"
"2491","8995"
"1622","8438"
"611","8346"
"237","10"
"1028","8404"
"2358","8995"
"1718","8418"
"202","8325"
"764","8373"
"35","8418"
"1279","8541"
"1172","8418"
"2080","8756"
"1769","10"
"758","8372"
"1333","8509"
"1922","8497"
"34","8418"
"603","8346"
"87","8509"
"2216","8418"
"670","8340"
"2481","8995"
"157","8431"
"1950","8497"
"2356","8995"
"1516","8412"
"285","10"
"1206","8372"
"2339","8995"
"1565","8412"
"1712","8418"
"2463","8995"
"299","10"
"1980","8497"
"1257","8618"
"254","10"
"828","8414"
"906","8412"
"1948","8497"
"827","8414"
"1508","8412"
"1098","8562"
"1286","8541"
"805","8419"
"2008","8497"
"536","8392"
"1697","8418"
"225","8413"
"1226","8372"
"84","8509"
"681","8407"
"475","8393"
"1294","8541"
"140","8380"
"1483","8509"
"1353","8711"
"2066","8497"
"1095","8366"
"183","8400"
"831","8414"
"2392","8418"
"1219","8372"
"1465","8509"
"1318","8418"
"1642","8577"
"303","10"
"760","8372"
"839","8327"
"2233","8418"
"873","8354"
"198","8325"
"606","8346"
"273","10"
"1546","8412"
"1412","8418"
"1942","8497"
"539","8392"
"1792","8764"
"2309","10"
"1207","8372"
"1122","8647"
"1981","8497"
"2350","8995"
"1071","8412"
"687","8407"
"362","8995"
"1715","8418"
"1198","8372"
"2336","8418"
"633","8346"
"111","8509"
"592","8357"
"1348","8618"
"337","8995"
"1438","8509"
"288","10"
"2005","8497"
"2048","8497"
"2112","8629"
"2311","10"
"1893","8497"
"624","8346"
"1886","8497"
"1991","8497"
"244","10"
"1216","8372"
"1178","8418"
"1586","8679"
"2328","8418"
"2016","8497"
"1877","8497"
"1345","8509"
"695","8387"
"629","8346"
"204","8325"
"2264","8459"
"1855","8896"
"1043","8459"
"650","8346"
"314","10"
"399","8995"
"1728","8418"
"42","8418"
"2372","8418"
"913","8300"
"850","8412"
"2307","10"
"1272","8541"
"638","8346"
"821","8409"
"2484","8995"
"1734","8418"
"1048","8343"
"453","8404"
"190","8307"
"1587","8679"
"490","8408"
"2440","8418"
"1174","8418"
"40","8418"
"1320","8509"
"1881","8497"
"716","8265"
"1416","8418"
"266","10"
"279","10"
"1692","8509"
"232","8412"
"868","8432"
"1916","8497"
"1599","8711"
"1939","8497"
"1405","8418"
"1088","8412"
"2483","8995"
"2119","8629"
"289","10"
"2093","8711"
"1157","8418"
"188","8400"
"2373","8418"
"1317","8418"
"1557","8412"
"848","8412"
"2151","8618"
"1063","8335"
"686","8407"
"2224","8418"
"2330","8418"
"1443","8509"
"98","8509"
"2370","8418"
"1596","8679"
"95","8509"
"2020","8497"
"1529","8459"
"1758","8617"
"2420","8418"
"1896","8497"
"463","8300"
"2380","8418"
"2032","8497"
"2195","8412"
"2083","8756"
"1042","8459"
"1139","10"
"2452","8995"
"1994","8497"
"1931","8497"
"2436","8418"
"2487","8995"
"1882","8497"
"174","8400"
"799","8419"
"1523","8459"
"710","8374"
"206","8325"
"210","8325"
"1880","8497"
"1999","8497"
"825","8409"
"2099","8711"
"961","8527"
"1941","8497"
"1408","8418"
"1407","8418"
"1694","8418"
"1022","8414"
"1671","8265"
"699","8387"
"1190","8418"
"1370","8418"
"921","8995"
"1742","8418"
"1566","8412"
"41","8418"
"1891","8497"
"350","8995"
"745","8372"
"2217","8418"
"311","10"
"754","8372"
"2010","8497"
"2212","8404"
"846","8332"
"194","8307"
"67","8712"
"2064","8497"
"334","8995"
"925","8313"
"1498","8685"
"1520","8412"
"2113","8629"
"1636","8711"
"1733","8418"
"1963","8412"
"2162","8896"
"263","10"
"32","8418"
"195","8405"
"901","8390"
"492","8408"
"1674","8744"
"1197","8372"
"1356","8711"
"1926","8497"
"2117","8629"
"501","8263"
"332","8995"
"1724","8418"
"1199","8372"
"252","10"
"542","8392"
"1569","8412"
"910","8300"
"791","8352"
"947","8478"
"1430","8509"
"1662","8372"
"2124","8497"
"569","8399"
"131","8380"
"171","8400"
"1482","8509"
"763","8373"
"1319","8509"
