"station_id","station_title","latitude","longitude","station_elevation"
"112980","FELDBACH",46.933,15.867,283.0
"110340","WIEN/INNERE STADT",48.200,16.367,171.0
"111900","EISENSTADT",47.850,16.533,189.3
"112920","LASSNITZHOEHE",47.067,15.583,533.0
"112310","KLAGENFURT(CIV/MIL)",46.650,14.333,452.0
"113040","BRAND",47.100,9.733,1029.0
"112200","NEUMARKT",47.067,14.417,870.0
"112520","VIRGEN",47.000,12.450,1190.0
"110590","WELS/SCHLEISSHEIM",48.167,14.067,314.0
"113560","BAD AUSSEE",47.617,13.750,747.0
"113580","BAD MITTERNDORF",47.550,13.933,803.0
"111520","MATTSEE",47.983,13.100,503.0
"113890","ST POELTEN LANDHAUS",48.183,15.617,273.0
"110800","WIEN/MARIABRUNN",48.200,16.233,227.0
"113300","MAYRHOFEN",47.167,11.850,633.0
"111650","ZELTWEG",47.203,14.744,676.7
"113650","ZELTWEG/AUTOM. STAT.",47.200,14.767,682.0
"110510","RANSHOFEN",48.217,13.033,388.1
"112040","LIENZ",46.833,12.817,666.0
"110010","WOLFSEGG",48.100,13.667,615.6
"110100","LINZ",48.233,14.188,298.1
"111750","BRUCK/MUR",47.417,15.267,482.0
"111500","SALZBURG",47.793,13.004,430.1
"113480","MARIAPFARR",47.150,13.750,1151.0
"112440","BAD GLEICHENBERG",46.867,15.900,282.0
"110120","KREMSMUENSTER",48.050,14.133,389.0
"112900","GRAZ UNIVERSITAET",47.083,15.450,378.0
"113510","RAMSAU/DACHSTEIN",47.433,13.633,1209.7
"111370","MARIA ALM",47.400,12.900,792.0
"113670","BAERNKOPF",48.383,15.000,970.0
"112280","FRIESACH",46.967,14.400,641.3
"110161","WIENER NEUSTADT EAST",47.843,16.260,273.1
"112400","GRAZ",46.991,15.440,339.9
"110830","LEISER BERGE",48.567,16.367,451.0
"113010","ALBERSCHWENDE",47.450,9.850,719.0
"110240","JAUERLING",48.333,15.333,959.0
"110900","WEIN-DONAUFELD",48.250,16.433,161.0
"112130","VILLACH",46.617,13.883,494.0
"113320","MISTELBACH",48.567,16.600,195.0
"110750","LANGENOIS (AUT)",48.467,15.700,210.0
"111920","KLEINZICKEN",47.200,16.333,267.0
"113250","JENBACH",47.383,11.750,531.4
"110820","GUMPOLDSKIRCHEN",48.033,16.283,233.0
"113020","DORNBIRN",47.433,9.733,410.0
"110600","LINZ/STADT",48.300,14.283,263.0
"113860","KRUMBACH ID BUCKLIGEN WELT",47.517,16.183,545.0
"111710","ST SEBASTIAN/MARIAZELL",47.800,15.300,872.0
"110370","GROSSENZERSDORF",48.200,16.567,153.0
"112850","DEUTSCHLANDSBERG",46.817,15.233,355.0
"111470","RADSTADT",47.383,13.450,861.0
"111050","FELDKIRCH",47.267,9.617,439.0
"113800","REICHENAU/RAX",47.700,15.833,486.0
"110190","ALLENTSTEIG",48.683,15.367,607.0
"112750","ARRIACH",46.733,13.850,892.3
"112140","PREITENEGG",46.933,14.917,1035.0
"113500","SALZBURG/FREISAAL",47.783,13.050,423.0
"111730","FISHBACH",47.450,15.650,1050.0
"110350","WIEN/HOHE WARTE",48.250,16.367,200.0
"110530","RIED IM INNKREIS",48.217,13.483,429.2
"112960","LEIBNITZ",46.767,15.550,265.7
"112420","ST RADEGUND",47.167,15.483,725.0
"112780","POERTSCHACH",46.633,14.167,453.0
"113590","GROEBMING",47.433,13.900,765.0
"110550","SCHAERDING",48.467,13.433,318.0
"113900","HARTBERG",47.283,15.983,335.0
"112480","BAD RADKERSBURG",46.683,15.983,214.0
"111760","KAPFENBERG-FLUGFELD",47.467,15.333,527.0
"112250","WEITENSFELD",46.850,14.183,712.4
"113780","GUTENSTEIN-MARIAHILFBERG",47.867,15.883,709.0
"110080","ROHRBACH",48.567,14.000,602.0
"111530","MONDSEE",47.850,13.367,491.0
"113570","ST. WOLFGANG",47.733,13.450,537.0
"112290","ST. ANDRAE I.L.",46.767,14.833,404.0
