"user_id","samples"
"8437",1
"8478",865
"8308",20
"8995",272
"8459",183
"8393",8
"8399",31
"8422",5
"8408",152
"8382",32
"8354",10
"8405",8
"8352",33
"10",3058
"8764",96
"9128",4
"8346",148
"8334",1
"8961",3
"8753",2
"8300",46
"8324",10
"8744",3
"8265",330
"8509",342
"8411",28
"8435",15
"8515",23
"8685",144
"8438",4
"8697",58
"8618",65
"8392",121
"8333",19
"8263",12
"8302",6
"8553",4
"8596",9
"8343",70
"8373",61
"8413",118
"8943",18
"8756",64
"8541",156
"8396",22
"8488",5
"8340",26
"8322",2
"8418",612
"8372",474
"8351",94
"8385",9
"8307",22
"8406",10
"8325",83
"8763",16
"8358",10
"8412",168
"8702",11
"8647",26
"8992",2
"8327",40
"8390",87
"8431",272
"8636",25
"8404",529
"8527",5
"8711",93
"8323",9
"8679",61
"8414",183
"8729",38
"8525",12
"8361",98
"8383",30
"8407",15
"8316",12
"8668",10
"8577",48
"8400",96
"8638",4
"8712",124
"8432",7
"8366",109
"8380",281
"8497",215
"8313",10
"8335",11
"8896",86
"8320",45
"8315",21
"8617",106
"8374",19
"8562",12
"8629",18
"8369",18
"8433",8
"8357",15
"8409",23
